month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,232,122,8,318,43
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
3,371,149,4,372,63
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
5,278,158,24,363,69
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
6,320,206,11,492,66
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
1,506,231,10,538,102
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
2,447,262,12,397,77
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
11,294,191,14,298,54
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
8,314,158,10,371,69
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
9,216,80,3,276,43
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,369,150,12,333,71
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
4,262,101,1,263,40
month,male_counter,female_counter,andy,unknown_counter,number_of_articles
12,181,135,2,276,40
