category,male_counter,female_counter,andy,unknown_counter,number_of_articles
UK Politics,35867,8179,669,40912,3755
Global Politics,21486,7793,1051,52794,3624
Brexit,6712,2495,151,12962,1101
Economy,8637,2635,298,16955,2233
Markets,4752,1396,402,14033,1645
Property,2673,779,180,6517,791
Personal Finance,1561,662,91,3949,543
Banking,4568,1575,210,10927,1402
Health,6069,2741,275,10339,1453
Science,1496,492,90,3363,524
Technology,5260,1931,296,14724,1154
Transport,3839,1096,215,10275,993
Law,6352,2364,286,12422,1319
Cricket,18951,1788,977,20122,1118
Tennis,7137,2536,163,9295,722
Rugby Union,23849,3037,944,29629,1654
Formula One,3932,498,319,3970,347
Golf,5020,507,113,4914,390
Racing,1748,482,131,3188,219
Boxing,2479,401,33,2100,160
Olympics,282,192,94,604,59
TV,16654,7853,403,16332,1189
Film,3914,1745,123,4512,443
Music,6102,2080,243,7290,531
Radio & Podcasts,1201,631,29,1265,88
Books,11096,5723,295,14339,983
Theatre,4625,2435,273,5110,496
Art,779,276,30,1017,112
Beauty,442,474,43,1409,136
Food & Drink,2336,1116,161,6928,550
Fitness & Wellbeing,602,373,26,1639,192
Home,565,509,25,1395,106
Gardening,371,224,18,1249,144
Driving,143,37,15,336,33
