category,male_counter,female_counter,andy,unknown_counter,number_of_articles
UK Politics,8269,2374,79,10725,3755
Global Politics,9044,2877,216,10731,3624
Brexit,2163,1096,31,3122,1101
Economy,4224,1186,44,4986,2233
Markets,1843,502,24,2427,1645
Property,1341,472,23,1239,791
Personal Finance,816,287,23,1150,543
Banking,2137,631,35,2568,1402
Health,2784,1649,113,4383,1453
Science,946,358,35,1317,524
Technology,1942,793,55,2639,1154
Transport,1909,478,22,2431,993
Law,1930,1227,53,3308,1319
Cricket,1754,127,6,1666,1118
Tennis,1483,529,15,2137,722
Rugby Union,3324,251,73,2793,1654
Formula One,1017,40,10,741,347
Golf,1277,91,7,912,390
Racing,294,84,12,333,219
Boxing,479,86,3,413,160
Winter Olympics 2022,95,82,13,97,59
Television,1601,773,13,2607,1189
Film,358,170,3,446,443
Music,791,456,27,842,531
Radio & Podcasts,70,82,1,121,88
Books,1430,862,4,1804,983
Theatre,373,251,5,447,496
Art Reviews,173,81,1,214,112
Beauty,104,158,4,243,136
Food & Drink,558,249,16,552,550
Fitness & Wellbeing,420,310,31,621,192
Home Interiors,86,168,6,173,106
Gardening,68,25,1,66,144
Driving,24,9,0,60,33
