category,male_counter,female_counter,andy,unknown_counter,number_of_articles
Opinions,51678,13067,4855,42715,8238
Local,40480,16357,1509,53024,6182
Sports,60015,11353,2272,57701,5591
Politics,78420,22423,1638,39754,4698
World,25552,8771,2834,28478,3780
Lifestyle,16630,11719,838,20085,3745
Entertainment,28605,15182,1208,21312,2423
National,20876,7800,647,18667,2303
Business,5987,1905,334,5940,1152
Technology,5420,1661,240,10992,976
National-security,10695,2328,296,8607,949
Health,3801,1949,111,4306,739
Travel,1910,973,149,3066,542
Transportation,1969,606,56,1452,483
Realestate,1737,548,45,1916,437
Elections,7208,2017,86,3756,425
Education,2942,1225,101,2377,421
Climate,3040,984,98,2224,414
Public-relations,1748,1415,39,759,374
Photography,858,441,51,744,352
News,4285,1215,124,3228,295
Us-policy,2698,477,44,1334,228
Other,2910,1170,83,3370,675
