category,male_counter,female_counter,andy,unknown_counter,number_of_articles
business,26095,8297,1219,37628,6376
opinion,26541,4840,1227,21944,5447
world,30173,8068,6908,38177,4115
markets,11891,3809,1184,14212,2830
us,15649,5242,483,15603,2039
books & arts,19696,7921,865,19106,1736
life & work,9027,4239,463,12506,1678
politics,21400,4680,498,12748,1485
news,9217,3073,982,12212,1430
economy,7377,1527,432,5594,1321
tech,5250,2031,427,11608,1198
sports,9440,1943,655,8842,986
style,6600,3337,445,7621,702
real estate,4363,1728,177,5496,613
