month,male_counter,female_counter,andy,unknown_counter,number_of_articles
Jan 2022,15503,4525,1023,15961,2582
Feb 2022,15743,4864,1290,16584,2534
Mar 2022,18211,5218,1531,19655,2874
Apr 2022,15774,5011,1228,19256,2642
May 2022,16559,4808,1188,18661,2705
Jun 2022,17592,5327,1023,18868,2818
Jul 2022,17173,4930,1140,18655,2830
Aug 2022,16538,4849,1102,17370,2713
Sep 2022,16723,5662,914,18448,2734
Oct 2022,16645,5224,2287,19426,2759
Nov 2022,19156,5340,1826,20785,2826
Dec 2022,17140,5000,1403,19684,2657
